# Column by column CTE scaling.
#
# COLUMN - Column number
# AMPA - Scaling values for AMP A
# AMPB - Scaling values for AMP B
# AMPC - Scaling values for AMP C
# AMPD - Scaling values for AMP D
#
# First row must be column names
#
COLUMN            AMPA         AMPB         AMPC         AMPD 
1                 1.076        0.906        1.072        1.121
2                 1.080        0.998        0.985        0.886
3                 0.906        1.024        1.252        0.927
4                 1.188        1.181        1.001        1.042
5                 1.105        0.993        0.934        0.948
6                 1.046        0.970        1.182        1.124
7                 1.193        0.906        1.178        1.032
8                 1.216        1.114        0.926        0.873
9                 1.127        0.981        0.974        1.036
10                1.030        1.029        0.925        0.956
11                1.194        0.882        1.014        1.011
12                0.951        1.002        1.021        1.048
13                1.037        1.128        1.008        1.138
14                1.012        1.188        1.036        0.919
15                0.954        1.157        0.988        0.892
16                1.026        0.927        1.037        1.182
17                0.901        0.976        0.959        1.028
18                1.250        0.998        1.010        1.058
19                1.082        1.176        0.947        0.918
20                1.073        0.916        1.032        0.911
21                0.946        1.016        1.070        1.043
22                0.939        1.017        1.115        0.967
23                1.063        0.981        0.996        1.324
24                1.146        0.882        1.017        1.132
25                1.083        1.197        1.003        1.058
26                1.153        1.119        1.006        0.817
27                1.189        0.955        0.872        1.241
28                1.256        0.982        1.101        0.981
29                1.207        1.060        1.208        1.005
30                0.928        0.960        1.066        1.099
31                1.039        0.849        1.067        1.118
32                1.193        1.041        1.062        1.073
33                1.097        1.001        1.009        0.969
34                0.890        0.997        0.978        1.237
35                1.157        1.379        0.920        0.894
36                1.028        1.067        1.281        0.979
37                1.026        1.016        0.847        0.865
38                1.017        1.155        1.025        1.158
39                1.526        0.855        1.062        1.068
40                0.967        1.057        1.062        1.035
41                1.062        0.937        0.804        1.295
42                0.912        1.022        1.021        0.904
43                0.840        1.059        1.135        0.975
44                0.994        1.074        1.077        1.067
45                1.003        0.925        1.085        0.827
46                0.857        0.860        1.021        0.908
47                0.728        1.123        0.989        0.935
48                0.847        1.028        1.145        0.995
49                0.934        1.249        0.781        1.050
50                0.829        1.034        1.039        1.010
51                1.003        0.894        1.201        0.892
52                0.747        1.162        0.985        0.931
53                0.877        1.048        1.121        1.039
54                0.857        1.182        1.086        1.069
55                1.052        0.963        0.970        0.906
56                1.007        1.282        0.953        0.980
57                0.886        0.933        1.008        1.050
58                1.001        0.993        1.001        1.036
59                1.180        0.903        1.024        1.068
60                0.784        0.887        1.109        0.940
61                0.893        0.962        1.038        0.896
62                1.004        1.037        1.037        1.093
63                1.063        0.889        0.916        0.798
64                1.139        1.090        1.043        1.132
65                1.018        0.911        0.888        1.020
66                1.209        1.150        0.931        1.009
67                1.311        0.898        1.175        0.857
68                1.243        0.823        0.906        1.196
69                1.396        0.900        0.971        1.000
70                0.909        0.911        1.230        0.993
71                1.024        0.995        1.101        0.989
72                1.068        1.034        0.911        1.192
73                0.977        1.061        0.941        1.147
74                1.264        0.927        0.946        0.914
75                1.207        1.277        0.990        0.994
76                1.171        1.031        0.957        1.280
77                0.970        1.052        1.089        1.034
78                1.034        0.941        1.011        1.001
79                0.919        1.153        0.971        1.036
80                1.009        0.961        1.109        1.070
